ts,iso,hour_bucket,symbol,market_id,mark_price,index_price,last_trade_price,basis_bps,open_interest,oi_notional,daily_quote_volume,daily_base_volume,daily_trades,daily_price_low,daily_price_high,daily_price_change,funding_rate,funding_exchange,funding_clamp_small,funding_clamp_big,base_interest_rate,best_bid,best_ask,spread_bps,bid_sz_l1,ask_sz_l1,bid_base_top50,ask_base_top50,depth_imb_top50,bid_notional_band,ask_notional_band,depth_imb_band
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,RGTI,52,15.274,15.274,15.3,0.0,413.931,6322.38,5553.765834,363.207,19,15.201,15.348,0.1702239099122692,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,XAU,40,4429.96,4430.82,4429.65,-1.941,2284.0481,10118241.72,20396681.159093,4598.9861,31193,4428.3,4443.62,-0.20411335725920368,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,AMZN,11,258.85,258.94,258.92,-3.476,1360.1493,352074.65,438683.897107,1688.1841,432,258.77,260.48,-0.38856615242565307,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,CLSK,48,12.574,12.571,12.6,2.386,396.686,4987.93,5413.469662,429.904,15,12.554,12.681,0.03969829297340215,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,NEAR,7,2.428,2.4274,2.4421,2.472,71013.24,172420.15,634986.249721,272104.03,1278,2.1644,2.4824,8.523308003377327,9.599999999999999e-05,lighter,0.05,4.0,0.01,2.4263,2.4284,8.651,298.27,610.92,136141.38,141153.14,-0.0181,116176.91,73699.98,0.2237
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,XRP,6,1.4111,1.4123,1.4116,-8.497,176747.37,249408.21,653049.064333,461279.74,1956,1.3963,1.4313,-1.0028753769549057,0.0,lighter,0.05,4.0,0.01,1.4108,1.4114,4.252,177.19,442.46,674331.63,682293.63,-0.0059,163173.65,185267.54,-0.0634
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,SNDK,32,1768.7,1768.43,1768.49,1.527,959.9302,1697828.54,7004170.175779,3944.052,25802,1760.72,1796.6,0.13872845462163938,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,XAG,41,66.1767,66.1876,66.1704,-1.647,40410.88,2674258.68,3028038.990661,45727.56,5013,66.1082,66.3199,-0.10688212170069383,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,ANSEM,39,0.25774,0.25679,0.26158,36.995,152834.4,39391.54,199407.81446,743723.8,2644,0.24417,0.29821,1.1640948292532003,9.599999999999999e-05,lighter,0.05,4.0,0.01,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,NVDA,15,231.37,231.35,231.37,0.864,13108.0564,3032811.01,1589044.530558,6869.4028,11420,230.88,231.76,0.03891387063299896,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,BTC,1,79651.0,79685.2,79649.7,-4.292,266.32348,21212931.51,58074123.361547,727.67213,78269,79178.8,80139.1,-0.477379149737885,9.599999999999999e-05,lighter,0.05,4.0,0.01,79645.1,79653.4,1.042,0.00313,0.00584,13.7759,12.7913,0.0371,1096631.56,1019200.2,0.0366
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,MU,31,1018.15,1018.55,1018.33,-3.927,864.2954,879982.36,1719727.483393,1680.8192999999999,6984,1014.58,1035.78,0.20570461211393476,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,SOL,3,106.008,106.084,105.994,-7.164,21074.927,2234110.86,9143075.732435,86595.919,19234,102.934,107.258,1.7275466917480853,-2.3999999999999997e-05,lighter,0.05,4.0,0.01,105.996,106.024,2.641,94.332,94.33,9548.936,8321.446,0.0687,498195.79,454565.28,0.0458
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,AMC,56,2.62909,2.62962,2.63733,-2.016,30750.1,80844.78,101121.755542,38559.2,734,2.61,2.64575,0.3798504196243363,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,SOFI,54,18.279,18.28,18.319,-0.547,468.932,8571.61,24463.570983,1340.709,64,18.166,18.324,0.41109405832054374,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
1788714003,2026-09-06T17:00:03.636542+00:00,2026-09-06T17,AAPL,10,321.7,321.73,321.71,-0.932,1971.6896,634292.54,1432947.1125089999,4453.6197,7597,321.38,322.02,0.04975897994091121,3.2e-05,lighter,0.05,4.0,0.0032,,,,,,,,,,,
